OG	Dmel_ISO1_proteome	Dsan_STOCAGO1482_proteome	Dsim_w501_proteome	Dtei_GT53w_proteome	Dyak_NY73PB_proteome	Dyak_Tai18E2_proteome
OG0001463	FBtr0078080	jg4959.t1	FBtr0359038	jg14090.t1	jg14388.t1	jg4984.t1
OG0001464	FBtr0078064	jg4958.t1	FBtr0355724	jg14089.t1	jg14389.t1	jg4983.t1
OG0001465	FBtr0078079	jg4957.t1	FBtr0363777	jg14088.t1	jg14390.t1	jg4982.t1
OG0001466	FBtr0078078	jg4954.t1	FBtr0348808	jg14087.t1	jg14392.t1	jg4980.t1
OG0001467	FBtr0078066	jg4953.t1	FBtr0222942	jg14086.t1	jg14393.t1	jg4979.t1
OG0001468	FBtr0078067	jg4951.t1	FBtr0222943	jg14084.t2	jg14395.t1	jg4977.t1
OG0001469	FBtr0078075	jg4950.t1	FBtr0222859	jg14083.t1	jg14396.t1	jg4976.t1
OG0001470	FBtr0078068	jg4949.t1	FBtr0362348	jg14082.t1	jg14397.t1	jg4975.t1
OG0001471	FBtr0078074	jg4948.t1	FBtr0222767	jg14078.t1	jg14398.t1	jg4974.t1
OG0001472	FBtr0078069	jg4947.t1	FBtr0222945	jg14077.t1	jg14399.t1	jg4973.t1
OG0001473	FBtr0346650	jg4946.t1	FBtr0222858	jg14076.t1	jg14400.t1	jg4972.t1
OG0001474	FBtr0078070	jg4945.t1	FBtr0222946	jg14075.t1	jg14401.t1	jg4971.t1
OG0001475	FBtr0343221	jg4944.t1	FBtr0222857	jg14074.t1	jg14403.t1	jg4969.t1
OG0001476	FBtr0078071	jg4943.t1	FBtr0222947	jg14073.t1	jg14404.t1	jg4968.t1
OG0001478	FBtr0078045	jg4941.t1	FBtr0360724	jg14069.t1	jg14406.t1	jg4966.t1
OG0001479	FBtr0301316	jg4937.t1	FBtr0222853	jg14064.t1	jg14411.t1	jg4962.t1
OG0001480	FBtr0078001	jg4936.t1	FBtr0222952	jg14063.t1	jg14412.t1	jg4961.t1
OG0001481	FBtr0078006	jg4932.t1	FBtr0222954	jg14057.t1	jg14416.t1	jg4957.t1
OG0001482	FBtr0078007	jg4931.t1	FBtr0222955	jg14056.t1	jg14417.t1	jg4956.t1
OG0001483	FBtr0078042	jg4930.t1	FBtr0222852	jg14055.t1	jg14418.t1	jg4955.t1
OG0001484	FBtr0078009	jg4928.t1	FBtr0222957	jg14054.t1	jg14420.t1	jg4953.t1
OG0001485	FBtr0078041	jg4927.t1	FBtr0222851	jg14053.t1	jg14421.t1	jg4952.t1
OG0001486	FBtr0078010	jg4926.t1	FBtr0222959	jg14052.t1	jg14422.t1	jg4951.t2
OG0001487	FBtr0078040	jg4925.t1	FBtr0222850	jg14050.t1	jg14423.t1	jg4950.t1
OG0001488	FBtr0078039	jg4924.t1	FBtr0222849	jg14049.t1	jg14424.t1	jg4949.t1
OG0001489	FBtr0078011	jg4923.t1	FBtr0352922	jg14048.t1	jg14425.t1	jg4948.t1
OG0001490	FBtr0078012	jg4922.t1	FBtr0363368	jg14047.t1	jg14426.t1	jg4947.t1
OG0001491	FBtr0078038	jg4921.t2	FBtr0359548	jg14046.t1	jg14427.t1	jg4946.t1
OG0001492	FBtr0078014	jg4920.t1	FBtr0357181	jg14045.t1	jg14428.t1	jg4945.t1
OG0001493	FBtr0078016	jg4918.t1	FBtr0222961	jg14043.t1	jg14431.t1	jg4942.t1
OG0001494	FBtr0078017	jg4917.t1	FBtr0222962	jg14042.t1	jg14432.t1	jg4941.t1
OG0001495	FBtr0078018	jg4915.t1	FBtr0348100	jg14041.t1	jg14433.t1	jg4939.t1
OG0001496	FBtr0078033	jg4914.t1	FBtr0362164	jg14040.t1	jg14434.t1	jg4938.t1
OG0001497	FBtr0078030	jg4913.t1	FBtr0353735	jg14038.t1	jg14435.t1	jg4937.t1
OG0001498	FBtr0091489	jg4912.t1	FBtr0364140	jg14037.t1	jg14436.t1	jg4936.t1
OG0001499	FBtr0078023	jg4911.t1	FBtr0361888	jg14035.t1	jg14437.t1	jg4935.t1
OG0001500	FBtr0332181	jg4910.t1	FBtr0360791	jg14032.t1	jg14438.t1	jg4934.t1
OG0001501	FBtr0336969	jg4907.t1	FBtr0222970	jg14027.t1	jg14442.t1	jg4931.t1
OG0001502	FBtr0301416	jg4904.t1	FBtr0365520	jg14021.t1	jg14445.t1	jg4926.t1
OG0001503	FBtr0077951	jg4903.t1	FBtr0359201	jg14018.t1	jg14448.t1	jg4924.t1
OG0001504	FBtr0077993	jg4901.t1	FBtr0222841	jg14017.t1	jg14451.t1	jg4922.t1
OG0001505	FBtr0077952	jg4900.t1	FBtr0348254	jg14015.t1	jg14452.t1	jg4921.t1
OG0001506	FBtr0077953	jg4899.t1	FBtr0222976	jg14013.t1	jg14453.t1	jg4920.t1
OG0001507	FBtr0332570	jg4898.t1	FBtr0353826	jg14012.t1	jg14454.t1	jg4919.t1
OG0001508	FBtr0077955	jg4895.t1	FBtr0352806	jg13731.t1	jg14457.t1	jg4916.t1
OG0001509	FBtr0077987	jg4894.t1	FBtr0222837	jg14009.t1	jg14458.t1	jg4915.t1
OG0001510	FBtr0077956	jg4893.t1	FBtr0222979	jg14008.t1	jg14459.t1	jg4914.t1
OG0001511	FBtr0077986	jg4892.t1	FBtr0222836	jg14007.t1	jg14460.t1	jg4913.t1
OG0001512	FBtr0332271	jg4891.t1	FBtr0363278	jg14006.t1	jg14461.t1	jg4912.t1
OG0001513	FBtr0077958	jg4890.t1	FBtr0362308	jg14005.t1	jg14462.t1	jg4911.t1
OG0001514	FBtr0077959	jg4889.t1	FBtr0363945	jg14004.t1	jg14463.t1	jg4910.t1
OG0001515	FBtr0077985	jg4888.t1	FBtr0222835	jg14003.t1	jg14464.t1	jg4909.t1
OG0001516	FBtr0077960	jg4887.t1	FBtr0222984	jg14002.t1	jg14465.t1	jg4908.t1
OG0001517	FBtr0077981	jg4884.t1	FBtr0222833	jg13997.t1	jg14469.t1	jg4904.t1
OG0001518	FBtr0077962	jg4883.t1	FBtr0362051	jg13996.t1	jg14470.t1	jg4903.t1
OG0001519	FBtr0077980	jg4881.t1	FBtr0222832	jg13994.t1	jg14472.t1	jg4901.t1
OG0001520	FBtr0077965	jg4880.t1	FBtr0352454	jg13993.t1	jg14473.t1	jg4900.t1
OG0001521	FBtr0077979	jg4879.t1	FBtr0222831	jg13992.t1	jg14474.t1	jg4899.t1
OG0001522	FBtr0077971	jg4875.t1	FBtr0362555	jg13986.t1	jg14478.t1	jg4895.t1
OG0001523	FBtr0077972	jg4874.t1	FBtr0355658	jg13985.t2	jg14479.t2	jg4894.t1
OG0001524	FBtr0077977	jg4873.t1	FBtr0222828	jg13984.t1	jg14480.t1	jg4893.t1
OG0001525	FBtr0114498	jg4871.t1	FBtr0222998	jg13982.t1	jg14482.t1	jg4891.t1
OG0001526	FBtr0299796	jg4869.t1	FBtr0222999	jg13978.t1	jg14483.t1	jg4889.t1
OG0001527	FBtr0077920	jg4868.t1	FBtr0223001	jg13976.t1	jg14484.t1	jg4888.t1
OG0001528	FBtr0077946	jg4859.t1	FBtr0348515	jg13966.t1	jg14493.t1	jg4880.t1
OG0001529	FBtr0077944	jg4858.t1	FBtr0222822	jg13965.t1	jg14494.t1	jg4879.t1
OG0001530	FBtr0077943	jg4857.t1	FBtr0222821	jg13964.t1	jg14495.t1	jg4878.t1
OG0001531	FBtr0329947	jg4856.t1	FBtr0222820	jg13963.t1	jg14496.t1	jg4877.t1
OG0001532	FBtr0077926	jg4855.t1	FBtr0223007	jg13962.t1	jg14497.t1	jg4876.t1
OG0001533	FBtr0077929	jg4852.t1	FBtr0223008	jg13960.t1	jg14499.t1	jg4873.t1
OG0001534	FBtr0077930	jg4851.t1	FBtr0223009	jg13959.t1	jg14500.t1	jg4872.t1
OG0001535	FBtr0077932	jg4849.t1	FBtr0223011	jg13957.t1	jg14501.t1	jg4870.t1
OG0001536	FBtr0334820	jg4848.t3	FBtr0222817	jg13955.t1	jg14503.t1	jg4868.t1
OG0001537	FBtr0114554	jg4847.t1	FBtr0349053	jg13953.t1	jg14504.t1	jg4867.t1
OG0001538	FBtr0077917	jg4845.t1	FBtr0222814	jg13950.t1	jg14506.t1	jg4865.t1
OG0001539	FBtr0077916	jg4841.t1	FBtr0222813	jg13945.t1	jg14510.t1	jg4861.t1
OG0001540	FBtr0474154	jg4843.t1	FBtr0355358	jg13947.t1	jg14508.t1	jg4863.t1
OG0001541	FBtr0077876	jg4840.t1	FBtr0223015	jg13944.t1	jg14511.t1	jg4860.t1
OG0001542	FBtr0077915	jg4839.t1	FBtr0358468	jg13943.t1	jg14512.t1	jg4859.t1
OG0001543	FBtr0303933	jg4838.t1	FBtr0363165	jg13942.t1	jg14513.t1	jg4858.t1
OG0001544	FBtr0077881	jg4836.t1	FBtr0355148	jg13940.t1	jg14514.t1	jg4856.t1
OG0001545	FBtr0077912	jg4835.t1	FBtr0222807	jg13939.t1	jg14515.t1	jg4855.t1
OG0001546	FBtr0077882	jg4834.t1	FBtr0360697	jg13938.t1	jg14516.t1	jg4854.t1
OG0001548	FBtr0077888	jg4821.t1	FBtr0222803	jg13923.t1	jg14527.t1	jg4842.t1
OG0001549	FBtr0077894	jg4815.t1	FBtr0222799	jg13914.t1	jg14531.t1	jg4837.t1
OG0001550	FBtr0089786	jg4814.t2	FBtr0354674	jg13913.t1	jg14532.t1	jg4836.t1
OG0001551	FBtr0077893	jg4813.t1	FBtr0355722	jg13912.t1	jg14533.t1	jg4835.t1
OG0001552	FBtr0077891	jg4812.t1	FBtr0223028	jg13911.t1	jg14534.t1	jg4834.t1
OG0001553	FBtr0473589	jg4810.t1	FBtr0211906	jg13909.t1	jg14536.t1	jg4832.t1
OG0001554	FBtr0333006	jg4808.t2	FBtr0358494	jg13905.t1	jg14537.t1	jg4823.t1
OG0001555	FBtr0077871	jg4807.t1	FBtr0222795	jg13903.t1	jg14538.t1	jg4822.t1
OG0001556	FBtr0307516	jg4806.t1	FBtr0355271	jg13902.t1	jg14539.t1	jg4821.t1
OG0001557	FBtr0330202	jg4804.t1	FBtr0222793	jg13900.t2	jg14541.t1	jg4819.t2
OG0001558	FBtr0077813	jg4803.t1	FBtr0223030	jg13898.t1	jg14542.t1	jg4818.t1
OG0001559	FBtr0077869	jg4802.t1	FBtr0364449	jg13897.t1	jg14543.t1	jg4817.t1
OG0001560	FBtr0077814	jg4801.t1	FBtr0223031	jg13895.t1	jg14544.t1	jg4816.t1
OG0001561	FBtr0077815	jg4800.t1	FBtr0223033	jg13894.t1	jg14545.t1	jg4815.t1
OG0001562	FBtr0077868	jg4799.t1	FBtr0359435	jg13893.t1	jg14546.t1	jg4814.t1
OG0001563	FBtr0077816	jg4797.t1	FBtr0223034	jg13888.t1	jg14547.t1	jg4811.t1
OG0001564	FBtr0100503	jg4796.t1	FBtr0357360	jg13887.t1	jg14548.t1	jg4810.t1
OG0001565	FBtr0309285	jg4795.t1	FBtr0362656	jg13886.t1	jg14549.t1	jg4809.t1
OG0001566	FBtr0301066	jg4794.t1	FBtr0347871	jg13885.t1	jg14551.t1	jg4807.t1
OG0001567	FBtr0299676	jg4793.t1	FBtr0222788	jg13884.t1	jg14552.t1	jg4806.t1
OG0001568	FBtr0077822	jg4791.t1	FBtr0223038	jg13882.t1	jg14553.t1	jg4804.t1
OG0001569	FBtr0077826	jg4790.t1	FBtr0352608	jg13879.t1	jg14555.t1	jg4802.t1
OG0001570	FBtr0300671	jg4789.t1	FBtr0355401	jg13878.t1	jg14556.t1	jg4801.t1
OG0001571	FBtr0077827	jg4788.t1	FBtr0223041	jg13876.t1	jg14557.t1	jg4800.t1
OG0001572	FBtr0077854	jg4787.t1	FBtr0222785	jg13873.t1	jg14558.t1	jg4799.t1
OG0001573	FBtr0077828	jg4786.t1	FBtr0359043	jg13872.t1	jg14559.t1	jg4798.t1
OG0001574	FBtr0301660	jg4785.t2	FBtr0222783	jg13869.t1	jg14560.t2	jg4797.t2
OG0001575	FBtr0077852	jg4784.t1	FBtr0222782	jg13868.t1	jg14561.t1	jg4796.t1
OG0001576	FBtr0077829	jg4783.t1	FBtr0223043	jg13867.t1	jg14562.t1	jg4795.t1
OG0001577	FBtr0077831	jg4782.t1	FBtr0353995	jg13866.t1	jg14563.t1	jg4794.t1
OG0001578	FBtr0077832	jg4781.t1	FBtr0348462	jg13865.t1	jg14564.t1	jg4793.t1
OG0001579	FBtr0077850	jg4780.t1	FBtr0351129	jg13864.t1	jg14565.t1	jg4792.t1
OG0001580	FBtr0330664	jg4776.t2	FBtr0349410	jg13861.t1	jg14570.t2	jg4788.t2
OG0001581	FBtr0077845	jg4774.t1	FBtr0222776	jg13859.t1	jg14572.t1	jg4786.t1
OG0001582	FBtr0077844	jg4773.t1	FBtr0222775	jg13858.t1	jg14573.t1	jg4785.t1
OG0001583	FBtr0112365	jg4772.t1	FBtr0223046	jg13857.t1	jg14574.t1	jg4784.t1
OG0001584	FBtr0077843	jg4771.t1	FBtr0222774	jg13856.t1	jg14575.t1	jg4783.t1
OG0001585	FBtr0299970	jg4770.t1	FBtr0222772	jg13855.t1	jg14576.t1	jg4781.t1
OG0001586	FBtr0077835	jg4769.t1	FBtr0223047	jg13854.t1	jg14577.t1	jg4780.t1
OG0001587	FBtr0077836	jg4768.t1	FBtr0223048	jg13853.t1	jg14578.t1	jg4779.t1
OG0001588	FBtr0077840	jg4766.t1	FBtr0223049	jg13851.t1	jg14580.t1	jg4777.t1
OG0001589	FBtr0329965	jg4765.t1	FBtr0360383	jg13850.t1	jg14581.t1	jg4776.t1
OG0001590	FBtr0077751	jg4763.t1	FBtr0223050	jg13845.t1	jg14583.t1	jg4773.t1
OG0001591	FBtr0077754	jg4760.t1	FBtr0223053	jg13840.t1	jg14586.t1	jg4768.t1
OG0001592	FBtr0302372	jg4759.t1	FBtr0222759	jg13839.t1	jg14587.t1	jg4767.t1
OG0001593	FBtr0077803	jg4758.t1	FBtr0222758	jg13838.t1	jg14588.t1	jg4766.t1
OG0001594	FBtr0077756	jg4757.t1	FBtr0223054	jg13837.t1	jg14589.t1	jg4765.t1
OG0001595	FBtr0077801	jg4755.t1	FBtr0222755	jg13836.t1	jg14590.t1	jg4763.t1
OG0001596	FBtr0077757	jg4752.t1	FBtr0223055	jg13833.t1	jg14593.t1	jg4760.t1
OG0001597	FBtr0077758	jg4751.t1	FBtr0223056	jg13832.t1	jg14594.t1	jg4759.t1
OG0001598	FBtr0077799	jg4750.t1	FBtr0222752	jg13831.t1	jg14595.t1	jg4758.t1
OG0001599	FBtr0344662	jg4749.t1	FBtr0348762	jg13830.t1	jg14597.t1	jg4757.t1
OG0001600	FBtr0077793	jg4748.t1	FBtr0222751	jg13829.t1	jg14598.t1	jg4756.t1
OG0001601	FBtr0077762	jg4747.t1	FBtr0223058	jg13828.t1	jg14599.t1	jg4755.t1
OG0001602	FBtr0330667	jg4746.t1	FBtr0222750	jg13827.t1	jg14600.t1	jg4754.t1
OG0001603	FBtr0077791	jg4745.t1	FBtr0351592	jg13826.t1	jg14601.t1	jg4753.t1
OG0001604	FBtr0077765	jg4744.t1	FBtr0357852	jg13824.t1	jg14603.t1	jg4751.t1
OG0001605	FBtr0077767	jg4742.t1	FBtr0223062	jg13821.t1	jg14605.t1	jg4749.t1
OG0001606	FBtr0077768	jg4741.t1	FBtr0223063	jg13820.t1	jg14606.t1	jg4748.t1
OG0001607	FBtr0077790	jg4740.t1	FBtr0222748	jg13819.t1	jg14607.t1	jg4747.t1
OG0001608	FBtr0077769	jg4739.t1	FBtr0223064	jg13817.t1	jg14609.t1	jg4745.t1
OG0001609	FBtr0307079	jg4738.t1	FBtr0350387	jg13816.t1	jg14610.t1	jg4744.t1
OG0001610	FBtr0077770	jg4735.t1	FBtr0223065	jg13813.t1	jg14615.t1	jg4741.t1
OG0001611	FBtr0077771	jg4731.t1	FBtr0350595	jg13811.t1	jg14617.t1	jg4739.t1
OG0001612	FBtr0077782	jg4729.t1	FBtr0351494	jg13809.t1	jg14621.t1	jg4736.t1
OG0001613	FBtr0077780	jg4728.t1	FBtr0223069	jg13808.t1	jg14622.t1	jg4735.t1
OG0001614	FBtr0077781	jg4725.t1	FBtr0222738	jg13806.t1	jg14623.t1	jg4733.t1
OG0001615	FBtr0077750	jg4724.t1	FBtr0222737	jg13805.t1	jg14624.t1	jg4732.t1
OG0001616	FBtr0077693	jg4719.t2	FBtr0223071	jg13801.t1	jg14629.t1	jg4728.t1
OG0001617	FBtr0077745	jg4718.t1	FBtr0222730	jg13800.t1	jg14630.t1	jg4727.t1
OG0001618	FBtr0077694	jg4717.t1	FBtr0223072	jg13799.t1	jg14631.t1	jg4726.t1
OG0001619	FBtr0077744	jg4716.t1	FBtr0222729	jg13798.t1	jg14632.t1	jg4725.t1
OG0001620	FBtr0335171	jg4714.t1	FBtr0365513	jg13797.t1	jg14634.t1	jg4724.t2
OG0001621	FBtr0114513	jg4713.t1	FBtr0223074	jg13794.t1	jg14635.t1	jg4723.t1
OG0001622	FBtr0077743	jg4711.t1	FBtr0222724	jg13792.t1	jg14638.t1	jg4721.t1
OG0001623	FBtr0302456	jg4710.t1	FBtr0357846	jg13791.t1	jg14639.t1	jg4720.t1
OG0001624	FBtr0077698	jg4707.t1	FBtr0223077	jg13787.t1	jg14642.t1	jg4718.t1
OG0001625	FBtr0077699	jg4706.t1	FBtr0223078	jg13786.t1	jg14643.t1	jg4717.t1
OG0001626	FBtr0077700	jg4705.t1	FBtr0223079	jg13785.t1	jg14644.t1	jg4716.t1
OG0001627	FBtr0077702	jg4703.t1	FBtr0350860	jg13783.t1	jg14646.t1	jg4714.t1
OG0001628	FBtr0300986	jg4701.t1	FBtr0222722	jg13781.t1	jg14650.t1	jg4712.t1
OG0001629	FBtr0334161	jg4698.t1	FBtr0348328	jg13778.t1	jg14653.t1	jg4710.t1
OG0001630	FBtr0089750	jg4697.t1	FBtr0223085	jg13777.t1	jg14654.t1	jg4709.t1
OG0001631	FBtr0077712	jg4695.t1	FBtr0223086	jg13775.t1	jg14656.t1	jg4707.t1
OG0001632	FBtr0077713	jg4693.t1	FBtr0223087	jg13772.t1	jg14658.t1	jg4705.t1
OG0001633	FBtr0100383	jg4692.t1	FBtr0350846	jg13771.t1	jg14659.t1	jg4704.t1
OG0001634	FBtr0077737	jg4691.t1	FBtr0349539	jg13770.t1	jg14660.t1	jg4703.t1
OG0001635	FBtr0077715	jg4690.t1	FBtr0223088	jg13769.t1	jg14661.t1	jg4702.t1
OG0001636	FBtr0077736	jg4689.t1	FBtr0358001	jg13768.t1	jg14662.t1	jg4701.t1
OG0001637	FBtr0077716	jg4688.t1	FBtr0223090	jg13767.t1	jg14663.t1	jg4700.t1
OG0001638	FBtr0077735	jg4687.t1	FBtr0222715	jg13766.t1	jg14664.t1	jg4699.t1
OG0001639	FBtr0077717	jg4686.t1	FBtr0223091	jg13765.t1	jg14665.t1	jg4698.t1
OG0001640	FBtr0077718	jg4684.t1	FBtr0223092	jg13763.t1	jg14667.t1	jg4696.t1
OG0001641	FBtr0077730	jg4683.t1	FBtr0222713	jg13762.t1	jg14668.t1	jg4695.t1
OG0001642	FBtr0077726	jg4682.t1	FBtr0348345	jg13760.t1	jg14669.t1	jg4694.t1
OG0001643	FBtr0077625	jg4667.t1	FBtr0223099	jg3433.t1	jg14683.t1	jg4680.t1
OG0001644	FBtr0077685	jg4664.t1	FBtr0355080	jg3430.t1	jg14686.t1	jg4677.t1
OG0001645	FBtr0077628	jg4665.t1	FBtr0223100	jg3431.t1	jg14685.t1	jg4678.t1
OG0001646	FBtr0077629	jg4663.t1	FBtr0223101	jg3429.t1	jg14687.t1	jg4676.t1
OG0001647	FBtr0077684	jg4662.t1	FBtr0222702	jg3428.t1	jg14688.t1	jg4675.t1
OG0001648	FBtr0077630	jg4661.t1	FBtr0223102	jg3427.t1	jg14689.t1	jg4674.t1
OG0001649	FBtr0077631	jg4660.t1	FBtr0347970	jg3426.t1	jg14690.t1	jg4673.t1
OG0001650	FBtr0332460	jg4659.t1	FBtr0356819	jg3425.t1	jg14691.t1	jg4672.t1
OG0001651	FBtr0077632	jg4658.t1	FBtr0359501	jg3423.t1	jg14693.t1	jg4670.t1
OG0001652	FBtr0077679	jg4655.t1	FBtr0222700	jg3419.t1	jg14696.t1	jg4668.t1
OG0001653	FBtr0290241	jg4654.t1	FBtr0358970	jg3418.t1	jg14697.t1	jg4667.t1
OG0001654	FBtr0077676	jg4652.t1	FBtr0222699	jg3416.t1	jg14699.t1	jg4665.t1
OG0001655	FBtr0077642	jg4651.t1	FBtr0223107	jg3415.t1	jg14700.t1	jg4664.t1
OG0001656	FBtr0077675	jg4650.t1	FBtr0222698	jg3414.t1	jg14701.t1	jg4663.t1
OG0001657	FBtr0305980	jg4649.t1	FBtr0360193	jg3411.t1	jg14702.t1	jg4662.t1
OG0001658	FBtr0077643	jg4648.t1	FBtr0211912	jg3410.t1	jg14703.t1	jg4661.t1
