OG	Dtei	Dsim	Dyak	Dmel	Dsan
OG0001192.intron1	jg2895.t1.intron1	FBtr0356697.intron1	jg136.t1.intron1	FBtr0301929.intron1	jg44.t1.intron1
OG0001192.intron2	jg2895.t1.intron2	FBtr0356697.intron2	jg136.t1.intron2	FBtr0301929.intron2	jg44.t1.intron2
OG0001192.intron3	jg2895.t1.intron3	FBtr0356697.intron3	jg136.t1.intron3	FBtr0301929.intron3	jg44.t1.intron3
OG0001192.intron6	jg2895.t1.intron6	FBtr0356697.intron6	jg136.t1.intron6	FBtr0301929.intron6	jg44.t1.intron6
OG0001192.intron7	jg2895.t1.intron7	FBtr0356697.intron7	jg136.t1.intron7	FBtr0301929.intron7	jg44.t1.intron7
OG0001193.intron1	jg2896.t1.intron1	FBtr0222891.intron1	jg137.t1.intron1	FBtr0078147.intron1	jg45.t1.intron1
OG0001195.intron1	jg2898.t1.intron1	FBtr0222915.intron1	jg139.t1.intron1	FBtr0078119.intron1	jg47.t1.intron1
OG0001195.intron2	jg2898.t1.intron2	FBtr0222915.intron2	jg139.t1.intron2	FBtr0078119.intron2	jg47.t1.intron2
OG0001196.intron1	jg2899.t1.intron1	FBtr0222890.intron1	jg140.t1.intron1	FBtr0091612.intron1	jg48.t1.intron1
OG0001197.intron9	jg2900.t2.intron11	FBtr0356417.intron9	jg141.t1.intron9	FBtr0078122.intron8	jg49.t2.intron9
OG0001197.intron10	jg2900.t2.intron12	FBtr0356417.intron10	jg141.t1.intron10	FBtr0078122.intron9	jg49.t2.intron10
OG0001197.intron11	jg2900.t2.intron13	FBtr0356417.intron11	jg141.t1.intron11	FBtr0078122.intron10	jg49.t2.intron11
OG0001198.intron1	jg2901.t1.intron1	FBtr0222918.intron1	jg142.t1.intron1	FBtr0078124.intron1	jg50.t1.intron1
OG0001201.intron1	jg2905.t1.intron1	FBtr0356926.intron1	jg146.t1.intron1	FBtr0078126.intron1	jg55.t1.intron1
OG0001202.intron1	jg2907.t1.intron1	FBtr0222886.intron1	jg148.t1.intron1	FBtr0078143.intron1	jg57.t1.intron1
OG0001202.intron2	jg2907.t1.intron2	FBtr0222886.intron2	jg148.t1.intron2	FBtr0078143.intron2	jg57.t1.intron2
OG0001202.intron3	jg2907.t1.intron3	FBtr0222886.intron3	jg148.t1.intron3	FBtr0078143.intron3	jg57.t1.intron3
OG0001203.intron3	jg2908.t1.intron3	FBtr0222885.intron2	jg149.t1.intron2	FBtr0078140.intron2	jg58.t1.intron2
OG0001203.intron4	jg2908.t1.intron4	FBtr0222885.intron3	jg149.t1.intron3	FBtr0078140.intron3	jg58.t1.intron3
OG0001205.intron1	jg2910.t1.intron1	FBtr0222921.intron1	jg151.t1.intron1	FBtr0078127.intron1	jg60.t1.intron1
OG0001205.intron2	jg2910.t1.intron2	FBtr0222921.intron2	jg151.t1.intron2	FBtr0078127.intron2	jg60.t1.intron2
OG0001206.intron1	jg2911.t1.intron1	FBtr0222883.intron1	jg152.t1.intron1	FBtr0078139.intron1	jg61.t1.intron1
OG0001208.intron1	jg2913.t1.intron1	FBtr0361032.intron1	jg154.t1.intron1	FBtr0300804.intron1	jg63.t1.intron1
OG0001208.intron2	jg2913.t1.intron2	FBtr0361032.intron2	jg154.t1.intron2	FBtr0300804.intron2	jg63.t1.intron2
OG0001208.intron3	jg2913.t1.intron3	FBtr0361032.intron3	jg154.t1.intron3	FBtr0300804.intron3	jg63.t1.intron3
OG0001209.intron2	jg2914.t1.intron2	FBtr0222923.intron2	jg155.t1.intron2	FBtr0078129.intron2	jg64.t1.intron2
OG0001209.intron3	jg2914.t1.intron3	FBtr0222923.intron3	jg155.t1.intron3	FBtr0078129.intron3	jg64.t1.intron3
OG0001209.intron4	jg2914.t1.intron4	FBtr0222923.intron4	jg155.t1.intron4	FBtr0078129.intron4	jg64.t1.intron4
OG0001209.intron5	jg2914.t1.intron5	FBtr0222923.intron5	jg155.t1.intron5	FBtr0078129.intron5	jg64.t1.intron5
OG0001210.intron1	jg2915.t1.intron1	FBtr0222881.intron1	jg156.t1.intron1	FBtr0078137.intron1	jg65.t1.intron1
OG0001211.intron1	jg2916.t1.intron1	FBtr0358402.intron1	jg157.t1.intron1	FBtr0078136.intron1	jg66.t1.intron1
OG0001211.intron2	jg2916.t1.intron2	FBtr0358402.intron2	jg157.t1.intron2	FBtr0078136.intron2	jg66.t1.intron2
OG0001213.intron1	jg2919.t1.intron1	FBtr0222924.intron1	jg160.t1.intron1	FBtr0078130.intron1	jg68.t1.intron1
OG0001214.intron1	jg2920.t1.intron1	FBtr0222877.intron1	jg161.t1.intron1	FBtr0078133.intron1	jg69.t1.intron1
OG0001215.intron1	jg2921.t1.intron1	FBtr0222925.intron1	jg162.t1.intron1	FBtr0078131.intron1	jg70.t1.intron1
OG0001215.intron2	jg2921.t1.intron2	FBtr0222925.intron2	jg162.t1.intron2	FBtr0078131.intron2	jg70.t1.intron2
OG0001215.intron3	jg2921.t1.intron3	FBtr0222925.intron3	jg162.t1.intron3	FBtr0078131.intron3	jg70.t1.intron3
OG0001216.intron3	jg2922.t1.intron3	FBtr0222926.intron2	jg163.t1.intron1	FBtr0331205.intron1	jg71.t1.intron3
OG0001217.intron4	jg2928.t1.intron2	FBtr0222927.intron4	jg170.t1.intron2	FBtr0078050.intron4	jg77.t3.intron2
OG0001217.intron5	jg2928.t1.intron3	FBtr0222927.intron5	jg170.t1.intron3	FBtr0078050.intron5	jg77.t3.intron3
OG0001217.intron6	jg2928.t1.intron4	FBtr0222927.intron6	jg170.t1.intron4	FBtr0078050.intron6	jg77.t3.intron4
OG0001217.intron7	jg2928.t1.intron5	FBtr0222927.intron7	jg170.t1.intron5	FBtr0078050.intron7	jg77.t3.intron5
OG0001217.intron8	jg2928.t1.intron6	FBtr0222927.intron8	jg170.t1.intron6	FBtr0078050.intron8	jg77.t3.intron6
OG0001217.intron11	jg2928.t1.intron9	FBtr0222927.intron11	jg170.t1.intron9	FBtr0078050.intron11	jg77.t3.intron9
OG0001217.intron12	jg2928.t1.intron10	FBtr0222927.intron12	jg170.t1.intron10	FBtr0078050.intron12	jg77.t3.intron10
OG0001217.intron13	jg2928.t1.intron11	FBtr0222927.intron13	jg170.t1.intron11	FBtr0078050.intron13	jg77.t3.intron11
OG0001217.intron14	jg2928.t1.intron12	FBtr0222927.intron14	jg170.t1.intron12	FBtr0078050.intron14	jg77.t3.intron12
OG0001217.intron15	jg2928.t1.intron13	FBtr0222927.intron15	jg170.t1.intron13	FBtr0078050.intron15	jg77.t3.intron13
OG0001223.intron1	jg2929.t1.intron1	FBtr0222872.intron1	jg171.t1.intron1	FBtr0078094.intron1	jg78.t1.intron1
OG0001223.intron2	jg2929.t1.intron2	FBtr0222872.intron2	jg171.t1.intron2	FBtr0078094.intron2	jg78.t1.intron2
OG0001223.intron3	jg2929.t1.intron3	FBtr0222872.intron3	jg171.t1.intron3	FBtr0078094.intron3	jg78.t1.intron3
OG0001224.intron1	jg2931.t1.intron2	FBtr0222930.intron1	jg173.t1.intron1	FBtr0078053.intron1	jg80.t1.intron2
OG0001224.intron2	jg2931.t1.intron3	FBtr0222930.intron2	jg173.t1.intron2	FBtr0078053.intron2	jg80.t1.intron3
OG0001224.intron3	jg2931.t1.intron4	FBtr0222930.intron3	jg173.t1.intron3	FBtr0078053.intron3	jg80.t1.intron4
OG0001225.intron1	jg2932.t1.intron1	FBtr0222871.intron1	jg174.t1.intron1	FBtr0078093.intron1	jg81.t1.intron1
OG0001225.intron2	jg2932.t1.intron2	FBtr0222871.intron2	jg174.t1.intron2	FBtr0078093.intron2	jg81.t1.intron2
OG0001225.intron3	jg2932.t1.intron3	FBtr0222871.intron3	jg174.t1.intron3	FBtr0078093.intron3	jg81.t1.intron3
OG0001226.intron1	jg2933.t1.intron1	FBtr0222931.intron1	jg175.t1.intron1	FBtr0078054.intron1	jg82.t1.intron1
OG0001226.intron2	jg2933.t1.intron2	FBtr0222931.intron2	jg175.t1.intron2	FBtr0078054.intron2	jg82.t1.intron2
OG0001227.intron2	jg2934.t1.intron2	FBtr0222870.intron2	jg176.t1.intron2	FBtr0089489.intron2	jg83.t1.intron2
OG0001227.intron3	jg2934.t1.intron3	FBtr0222870.intron3	jg176.t1.intron3	FBtr0089489.intron3	jg83.t1.intron3
OG0001227.intron4	jg2934.t1.intron4	FBtr0222870.intron4	jg176.t1.intron4	FBtr0089489.intron4	jg83.t1.intron4
OG0001227.intron5	jg2934.t1.intron5	FBtr0222870.intron5	jg176.t1.intron5	FBtr0089489.intron5	jg83.t1.intron5
OG0001227.intron6	jg2934.t1.intron6	FBtr0222870.intron6	jg176.t1.intron6	FBtr0089489.intron6	jg83.t1.intron6
OG0001227.intron7	jg2934.t1.intron7	FBtr0222870.intron7	jg176.t1.intron7	FBtr0089489.intron7	jg83.t1.intron7
OG0001228.intron1	jg2936.t1.intron1	FBtr0222932.intron1	jg177.t1.intron1	FBtr0078055.intron1	jg85.t1.intron1
OG0001228.intron2	jg2936.t1.intron2	FBtr0222932.intron2	jg177.t1.intron2	FBtr0078055.intron2	jg85.t1.intron2
OG0001230.intron1	jg2938.t1.intron1	FBtr0222933.intron1	jg179.t1.intron1	FBtr0078056.intron1	jg87.t1.intron1
OG0001232.intron1	jg2940.t1.intron1	FBtr0222934.intron1	jg181.t1.intron1	FBtr0078057.intron1	jg89.t1.intron1
OG0001233.intron1	jg2941.t1.intron1	FBtr0222935.intron1	jg182.t1.intron1	FBtr0078058.intron1	jg90.t1.intron1
OG0001233.intron2	jg2941.t1.intron2	FBtr0222935.intron2	jg182.t1.intron2	FBtr0078058.intron2	jg90.t1.intron2
OG0001233.intron3	jg2941.t1.intron3	FBtr0222935.intron3	jg182.t1.intron3	FBtr0078058.intron3	jg90.t1.intron3
OG0001234.intron1	jg2942.t1.intron1	FBtr0222936.intron1	jg183.t1.intron1	FBtr0078059.intron1	jg92.t1.intron1
OG0001234.intron2	jg2942.t1.intron2	FBtr0222936.intron2	jg183.t1.intron2	FBtr0078059.intron2	jg92.t1.intron2
OG0001234.intron3	jg2942.t1.intron3	FBtr0222936.intron3	jg183.t1.intron3	FBtr0078059.intron3	jg92.t1.intron3
OG0001234.intron4	jg2942.t1.intron4	FBtr0222936.intron4	jg183.t1.intron4	FBtr0078059.intron4	jg92.t1.intron4
OG0001235.intron2	jg2943.t1.intron4	FBtr0222867.intron2	jg184.t1.intron6	FBtr0078087.intron2	jg93.t1.intron2
OG0001235.intron3	jg2943.t1.intron5	FBtr0222867.intron3	jg184.t1.intron7	FBtr0078087.intron3	jg93.t1.intron3
OG0001236.intron1	jg2944.t1.intron1	FBtr0222937.intron1	jg185.t1.intron1	FBtr0078060.intron1	jg94.t1.intron1
OG0001237.intron2	jg2945.t1.intron3	FBtr0222938.intron3	jg186.t1.intron2	FBtr0078061.intron3	jg95.t1.intron3
OG0001237.intron5	jg2945.t1.intron6	FBtr0222938.intron6	jg186.t1.intron5	FBtr0078061.intron6	jg95.t1.intron7
OG0001239.intron3	jg2947.t1.intron3	FBtr0357366.intron4	jg188.t1.intron3	FBtr0078062.intron3	jg97.t1.intron3
OG0001239.intron4	jg2947.t1.intron4	FBtr0357366.intron5	jg188.t1.intron4	FBtr0078062.intron4	jg97.t1.intron4
OG0001240.intron1	jg2948.t1.intron1	FBtr0222864.intron1	jg189.t1.intron1	FBtr0078083.intron1	jg98.t1.intron1
OG0001241.intron4	jg2950.t1.intron4	FBtr0349879.intron5	jg190.t1.intron4	FBtr0329895.intron4	jg99.t1.intron4
OG0001241.intron5	jg2950.t1.intron5	FBtr0349879.intron6	jg190.t1.intron5	FBtr0329895.intron5	jg99.t1.intron5
OG0001241.intron6	jg2950.t1.intron6	FBtr0349879.intron7	jg190.t1.intron6	FBtr0329895.intron6	jg99.t1.intron6
OG0001243.intron1	jg2952.t1.intron1	FBtr0359038.intron1	jg192.t1.intron1	FBtr0078080.intron1	jg101.t1.intron1
OG0001243.intron2	jg2952.t1.intron2	FBtr0359038.intron2	jg192.t1.intron2	FBtr0078080.intron2	jg101.t1.intron2
OG0001244.intron1	jg2953.t1.intron1	FBtr0355724.intron1	jg193.t1.intron1	FBtr0078064.intron1	jg102.t1.intron1
OG0001244.intron2	jg2953.t1.intron2	FBtr0355724.intron2	jg193.t1.intron2	FBtr0078064.intron2	jg102.t1.intron2
OG0001244.intron3	jg2953.t1.intron3	FBtr0355724.intron3	jg193.t1.intron3	FBtr0078064.intron3	jg102.t1.intron3
OG0001245.intron2	jg2954.t1.intron3	FBtr0363777.intron2	jg194.t1.intron2	FBtr0078079.intron2	jg103.t1.intron2
OG0001246.intron1	jg2955.t1.intron1	FBtr0348808.intron1	jg196.t1.intron1	FBtr0078078.intron1	jg105.t1.intron1
OG0001246.intron2	jg2955.t1.intron2	FBtr0348808.intron2	jg196.t1.intron2	FBtr0078078.intron2	jg105.t1.intron2
OG0001246.intron3	jg2955.t1.intron3	FBtr0348808.intron3	jg196.t1.intron3	FBtr0078078.intron3	jg105.t1.intron3
OG0001246.intron4	jg2955.t1.intron4	FBtr0348808.intron4	jg196.t1.intron4	FBtr0078078.intron4	jg105.t1.intron4
OG0001246.intron5	jg2955.t1.intron5	FBtr0348808.intron5	jg196.t1.intron5	FBtr0078078.intron5	jg105.t1.intron5
OG0001247.intron1	jg2956.t1.intron1	FBtr0222942.intron1	jg197.t1.intron1	FBtr0078066.intron1	jg106.t1.intron1
OG0001249.intron1	jg2959.t1.intron1	FBtr0222859.intron1	jg200.t1.intron1	FBtr0078075.intron1	jg109.t1.intron1
OG0001249.intron2	jg2959.t1.intron2	FBtr0222859.intron2	jg200.t1.intron2	FBtr0078075.intron2	jg109.t1.intron2
OG0001249.intron3	jg2959.t1.intron3	FBtr0222859.intron3	jg200.t1.intron3	FBtr0078075.intron3	jg109.t1.intron3
OG0001250.intron1	jg2960.t1.intron1	FBtr0362348.intron1	jg201.t1.intron1	FBtr0078068.intron1	jg110.t1.intron1
OG0001250.intron2	jg2960.t1.intron2	FBtr0362348.intron2	jg201.t1.intron2	FBtr0078068.intron2	jg110.t1.intron2
OG0001252.intron1	jg2962.t1.intron1	FBtr0222945.intron1	jg203.t1.intron1	FBtr0078069.intron1	jg112.t1.intron1
OG0001252.intron2	jg2962.t1.intron2	FBtr0222945.intron2	jg203.t1.intron2	FBtr0078069.intron2	jg112.t1.intron2
OG0001253.intron2	jg2963.t1.intron2	FBtr0222858.intron2	jg204.t1.intron2	FBtr0346650.intron2	jg113.t1.intron2
OG0001254.intron1	jg2964.t1.intron1	FBtr0222946.intron1	jg205.t1.intron1	FBtr0078070.intron1	jg114.t1.intron1
OG0001254.intron2	jg2964.t1.intron2	FBtr0222946.intron2	jg205.t1.intron2	FBtr0078070.intron2	jg114.t1.intron2
OG0001255.intron2	jg2965.t1.intron2	FBtr0222857.intron2	jg208.t1.intron2	FBtr0343221.intron2	jg115.t1.intron2
OG0001257.intron2	jg2969.t1.intron1	FBtr0360724.intron2	jg212.t1.intron2	FBtr0078045.intron2	jg119.t1.intron2
OG0001257.intron3	jg2969.t1.intron2	FBtr0360724.intron3	jg212.t1.intron3	FBtr0078045.intron3	jg119.t1.intron3
OG0001257.intron4	jg2969.t1.intron3	FBtr0360724.intron4	jg212.t1.intron4	FBtr0078045.intron4	jg119.t1.intron4
OG0001257.intron5	jg2969.t1.intron4	FBtr0360724.intron5	jg212.t1.intron5	FBtr0078045.intron5	jg119.t1.intron5
OG0001257.intron6	jg2969.t1.intron5	FBtr0360724.intron6	jg212.t1.intron6	FBtr0078045.intron6	jg119.t1.intron6
OG0001257.intron7	jg2969.t1.intron6	FBtr0360724.intron7	jg212.t1.intron7	FBtr0078045.intron7	jg119.t1.intron7
OG0001257.intron8	jg2969.t1.intron7	FBtr0360724.intron8	jg212.t1.intron8	FBtr0078045.intron8	jg119.t1.intron8
OG0001258.intron1	jg2975.t1.intron2	FBtr0222853.intron1	jg215.t1.intron1	FBtr0301316.intron1	jg123.t1.intron2
OG0001258.intron2	jg2975.t1.intron3	FBtr0222853.intron2	jg215.t1.intron2	FBtr0301316.intron2	jg123.t1.intron3
OG0001258.intron3	jg2975.t1.intron4	FBtr0222853.intron3	jg215.t1.intron3	FBtr0301316.intron3	jg123.t1.intron4
OG0001258.intron4	jg2975.t1.intron5	FBtr0222853.intron4	jg215.t1.intron4	FBtr0301316.intron4	jg123.t1.intron5
OG0001258.intron5	jg2975.t1.intron6	FBtr0222853.intron5	jg215.t1.intron5	FBtr0301316.intron5	jg123.t1.intron6
OG0001259.intron1	jg2976.t1.intron2	FBtr0222952.intron1	jg216.t1.intron2	FBtr0078001.intron1	jg124.t1.intron1
OG0001259.intron2	jg2976.t1.intron3	FBtr0222952.intron2	jg216.t1.intron3	FBtr0078001.intron2	jg124.t1.intron2
OG0001259.intron3	jg2976.t1.intron4	FBtr0222952.intron3	jg216.t1.intron4	FBtr0078001.intron3	jg124.t1.intron3
OG0001259.intron4	jg2976.t1.intron5	FBtr0222952.intron4	jg216.t1.intron5	FBtr0078001.intron4	jg124.t1.intron4
OG0001259.intron5	jg2976.t1.intron6	FBtr0222952.intron5	jg216.t1.intron6	FBtr0078001.intron5	jg124.t1.intron5
OG0001259.intron6	jg2976.t1.intron7	FBtr0222952.intron6	jg216.t1.intron7	FBtr0078001.intron6	jg124.t1.intron6
OG0001259.intron9	jg2976.t1.intron10	FBtr0222952.intron9	jg216.t1.intron10	FBtr0078001.intron9	jg124.t1.intron9
OG0001260.intron1	jg2980.t1.intron1	FBtr0222954.intron1	jg220.t1.intron1	FBtr0078006.intron1	jg128.t1.intron1
OG0001260.intron2	jg2980.t1.intron2	FBtr0222954.intron2	jg220.t1.intron2	FBtr0078006.intron2	jg128.t1.intron2
OG0001260.intron3	jg2980.t1.intron3	FBtr0222954.intron3	jg220.t1.intron3	FBtr0078006.intron3	jg128.t1.intron3
OG0001262.intron1	jg2982.t1.intron1	FBtr0222852.intron1	jg222.t1.intron1	FBtr0078042.intron1	jg130.t1.intron1
OG0001262.intron2	jg2982.t1.intron2	FBtr0222852.intron2	jg222.t1.intron2	FBtr0078042.intron2	jg130.t1.intron2
OG0001262.intron3	jg2982.t1.intron3	FBtr0222852.intron3	jg222.t1.intron3	FBtr0078042.intron3	jg130.t1.intron3
OG0001262.intron4	jg2982.t1.intron4	FBtr0222852.intron4	jg222.t1.intron4	FBtr0078042.intron4	jg130.t1.intron4
OG0001263.intron1	jg2985.t1.intron1	FBtr0222956.intron1	jg224.t1.intron1	FBtr0078008.intron1	jg131.t1.intron1
OG0001263.intron2	jg2985.t1.intron2	FBtr0222956.intron2	jg224.t1.intron2	FBtr0078008.intron2	jg131.t1.intron2
OG0001263.intron3	jg2985.t1.intron3	FBtr0222956.intron3	jg224.t1.intron3	FBtr0078008.intron3	jg131.t1.intron3
OG0001264.intron1	jg2986.t1.intron1	FBtr0222957.intron1	jg225.t1.intron1	FBtr0078009.intron1	jg132.t1.intron1
OG0001265.intron1	jg2987.t1.intron1	FBtr0222851.intron1	jg226.t1.intron1	FBtr0078041.intron1	jg133.t1.intron1
OG0001265.intron2	jg2987.t1.intron2	FBtr0222851.intron2	jg226.t1.intron2	FBtr0078041.intron2	jg133.t1.intron2
OG0001265.intron3	jg2987.t1.intron3	FBtr0222851.intron3	jg226.t1.intron3	FBtr0078041.intron3	jg133.t1.intron3
OG0001265.intron4	jg2987.t1.intron4	FBtr0222851.intron4	jg226.t1.intron4	FBtr0078041.intron4	jg133.t1.intron4
OG0001267.intron1	jg2989.t1.intron1	FBtr0222850.intron1	jg228.t1.intron1	FBtr0078040.intron1	jg135.t1.intron1
OG0001268.intron1	jg2990.t1.intron1	FBtr0222849.intron1	jg229.t1.intron1	FBtr0078039.intron1	jg136.t1.intron1
OG0001270.intron1	jg2992.t1.intron1	FBtr0363368.intron1	jg231.t1.intron1	FBtr0078012.intron1	jg138.t1.intron1
OG0001270.intron2	jg2992.t1.intron2	FBtr0363368.intron2	jg231.t1.intron2	FBtr0078012.intron2	jg138.t1.intron2
OG0001272.intron1	jg2994.t1.intron1	FBtr0357181.intron1	jg233.t1.intron1	FBtr0078014.intron1	jg140.t1.intron1
OG0001272.intron2	jg2994.t1.intron2	FBtr0357181.intron2	jg233.t1.intron2	FBtr0078014.intron2	jg140.t1.intron2
OG0001272.intron3	jg2994.t1.intron3	FBtr0357181.intron3	jg233.t1.intron3	FBtr0078014.intron3	jg140.t1.intron3
OG0001272.intron4	jg2994.t1.intron4	FBtr0357181.intron4	jg233.t1.intron4	FBtr0078014.intron4	jg140.t1.intron4
OG0001273.intron1	jg2996.t1.intron1	FBtr0222961.intron1	jg236.t1.intron1	FBtr0078016.intron1	jg142.t1.intron1
OG0001273.intron2	jg2996.t1.intron2	FBtr0222961.intron2	jg236.t1.intron2	FBtr0078016.intron2	jg142.t1.intron2
OG0001274.intron1	jg2997.t1.intron1	FBtr0222962.intron1	jg237.t1.intron1	FBtr0078017.intron1	jg143.t1.intron1
OG0001274.intron2	jg2997.t1.intron2	FBtr0222962.intron2	jg237.t1.intron2	FBtr0078017.intron2	jg143.t1.intron2
OG0001275.intron4	jg2998.t1.intron4	FBtr0348100.intron2	jg239.t1.intron2	FBtr0078018.intron2	jg144.t1.intron2
OG0001276.intron2	jg2999.t1.intron2	FBtr0362164.intron2	jg240.t1.intron1	FBtr0078033.intron2	jg145.t1.intron2
OG0001276.intron3	jg2999.t1.intron3	FBtr0362164.intron3	jg240.t1.intron2	FBtr0078033.intron3	jg145.t1.intron3
OG0001276.intron4	jg2999.t1.intron4	FBtr0362164.intron4	jg240.t1.intron3	FBtr0078033.intron4	jg145.t1.intron4
OG0001276.intron5	jg2999.t1.intron5	FBtr0362164.intron5	jg240.t1.intron4	FBtr0078033.intron5	jg145.t1.intron5
OG0001278.intron2	jg3001.t1.intron2	FBtr0364140.intron2	jg242.t1.intron2	FBtr0091489.intron2	jg147.t1.intron2
OG0001278.intron3	jg3001.t1.intron3	FBtr0364140.intron3	jg242.t1.intron3	FBtr0091489.intron3	jg147.t1.intron3
OG0001278.intron4	jg3001.t1.intron4	FBtr0364140.intron4	jg242.t1.intron4	FBtr0091489.intron4	jg147.t1.intron4
OG0001280.intron1	jg3003.t1.intron1	FBtr0360791.intron1	jg244.t1.intron1	FBtr0332181.intron1	jg149.t1.intron1
OG0001280.intron2	jg3003.t1.intron2	FBtr0360791.intron2	jg244.t1.intron2	FBtr0332181.intron2	jg149.t1.intron2
OG0001280.intron3	jg3003.t1.intron3	FBtr0360791.intron3	jg244.t1.intron3	FBtr0332181.intron3	jg149.t1.intron3
OG0001280.intron6	jg3003.t1.intron6	FBtr0360791.intron6	jg244.t1.intron6	FBtr0332181.intron6	jg149.t1.intron6
OG0001280.intron7	jg3003.t1.intron7	FBtr0360791.intron7	jg244.t1.intron7	FBtr0332181.intron7	jg149.t1.intron7
OG0001280.intron8	jg3003.t1.intron8	FBtr0360791.intron8	jg244.t1.intron8	FBtr0332181.intron8	jg149.t1.intron8
OG0001280.intron9	jg3003.t1.intron9	FBtr0360791.intron9	jg244.t1.intron9	FBtr0332181.intron9	jg149.t1.intron9
OG0001280.intron10	jg3003.t1.intron10	FBtr0360791.intron10	jg244.t1.intron10	FBtr0332181.intron10	jg149.t1.intron10
OG0001280.intron11	jg3003.t1.intron11	FBtr0360791.intron11	jg244.t1.intron11	FBtr0332181.intron11	jg149.t1.intron11
OG0001280.intron12	jg3003.t1.intron12	FBtr0360791.intron12	jg244.t1.intron12	FBtr0332181.intron12	jg149.t1.intron12
OG0001280.intron13	jg3003.t1.intron13	FBtr0360791.intron13	jg244.t1.intron13	FBtr0332181.intron13	jg149.t1.intron13
OG0001280.intron14	jg3003.t1.intron14	FBtr0360791.intron14	jg244.t1.intron14	FBtr0332181.intron14	jg149.t1.intron14
OG0001281.intron2	jg3007.t1.intron2	FBtr0222970.intron2	jg247.t1.intron2	FBtr0336969.intron2	jg152.t1.intron2
OG0001281.intron3	jg3007.t1.intron3	FBtr0222970.intron3	jg247.t1.intron3	FBtr0336969.intron3	jg152.t1.intron3
OG0001281.intron4	jg3007.t1.intron4	FBtr0222970.intron4	jg247.t1.intron4	FBtr0336969.intron4	jg152.t1.intron4
OG0001281.intron5	jg3007.t1.intron5	FBtr0222970.intron5	jg247.t1.intron5	FBtr0336969.intron5	jg152.t1.intron5
OG0001281.intron6	jg3007.t1.intron6	FBtr0222970.intron6	jg247.t1.intron6	FBtr0336969.intron6	jg152.t1.intron6
OG0001281.intron7	jg3007.t1.intron7	FBtr0222970.intron7	jg247.t1.intron7	FBtr0336969.intron7	jg152.t1.intron7
OG0001281.intron8	jg3007.t1.intron8	FBtr0222970.intron8	jg247.t1.intron8	FBtr0336969.intron8	jg152.t1.intron8
