OG	Dsan_STOCAGO1482	Dsim_w501	Dtei_GT53w	Dyak_NY73PB	Dmel_ISO1
OG0001463.intron2	jg4959.t1.intron2	FBtr0359038.intron2	jg14090.t1.intron2	jg14388.t1.intron2	FBtr0078080.intron2
OG0001464.intron1	jg4958.t1.intron1	FBtr0355724.intron1	jg14089.t1.intron1	jg14389.t1.intron1	FBtr0078064.intron1
OG0001465.intron2	jg4957.t1.intron2	FBtr0363777.intron2	jg14088.t1.intron3	jg14390.t1.intron2	FBtr0078079.intron2
OG0001466.intron3	jg4954.t1.intron3	FBtr0348808.intron3	jg14087.t1.intron4	jg14392.t1.intron3	FBtr0078078.intron3
OG0001467.intron1	jg4953.t1.intron1	FBtr0222942.intron1	jg14086.t1.intron1	jg14393.t1.intron1	FBtr0078066.intron1
OG0001469.intron1	jg4950.t1.intron1	FBtr0222859.intron1	jg14083.t1.intron1	jg14396.t1.intron1	FBtr0078075.intron1
OG0001469.intron2	jg4950.t1.intron2	FBtr0222859.intron2	jg14083.t1.intron2	jg14396.t1.intron2	FBtr0078075.intron2
OG0001469.intron3	jg4950.t1.intron3	FBtr0222859.intron3	jg14083.t1.intron3	jg14396.t1.intron3	FBtr0078075.intron3
OG0001470.intron1	jg4949.t1.intron1	FBtr0362348.intron1	jg14082.t1.intron1	jg14397.t1.intron1	FBtr0078068.intron1
OG0001472.intron1	jg4947.t1.intron1	FBtr0222945.intron1	jg14077.t1.intron1	jg14399.t1.intron1	FBtr0078069.intron1
OG0001472.intron2	jg4947.t1.intron2	FBtr0222945.intron2	jg14077.t1.intron2	jg14399.t1.intron2	FBtr0078069.intron2
OG0001473.intron2	jg4946.t1.intron2	FBtr0222858.intron2	jg14076.t1.intron2	jg14400.t1.intron2	FBtr0346650.intron2
OG0001478.intron2	jg4941.t1.intron2	FBtr0360724.intron2	jg14069.t1.intron1	jg14406.t1.intron1	FBtr0078045.intron2
OG0001478.intron3	jg4941.t1.intron3	FBtr0360724.intron3	jg14069.t1.intron2	jg14406.t1.intron2	FBtr0078045.intron3
OG0001478.intron4	jg4941.t1.intron4	FBtr0360724.intron4	jg14069.t1.intron3	jg14406.t1.intron3	FBtr0078045.intron4
OG0001478.intron5	jg4941.t1.intron5	FBtr0360724.intron5	jg14069.t1.intron4	jg14406.t1.intron4	FBtr0078045.intron5
OG0001478.intron6	jg4941.t1.intron6	FBtr0360724.intron6	jg14069.t1.intron5	jg14406.t1.intron5	FBtr0078045.intron6
OG0001478.intron7	jg4941.t1.intron7	FBtr0360724.intron7	jg14069.t1.intron6	jg14406.t1.intron6	FBtr0078045.intron7
OG0001478.intron8	jg4941.t1.intron8	FBtr0360724.intron8	jg14069.t1.intron7	jg14406.t1.intron7	FBtr0078045.intron8
OG0001479.intron4	jg4937.t1.intron5	FBtr0222853.intron4	jg14064.t1.intron6	jg14411.t1.intron4	FBtr0301316.intron4
OG0001479.intron5	jg4937.t1.intron6	FBtr0222853.intron5	jg14064.t1.intron7	jg14411.t1.intron5	FBtr0301316.intron5
OG0001480.intron1	jg4936.t1.intron2	FBtr0222952.intron1	jg14063.t1.intron2	jg14412.t1.intron2	FBtr0078001.intron1
OG0001480.intron2	jg4936.t1.intron3	FBtr0222952.intron2	jg14063.t1.intron3	jg14412.t1.intron3	FBtr0078001.intron2
OG0001480.intron3	jg4936.t1.intron4	FBtr0222952.intron3	jg14063.t1.intron4	jg14412.t1.intron4	FBtr0078001.intron3
OG0001481.intron1	jg4932.t1.intron1	FBtr0222954.intron1	jg14057.t1.intron1	jg14416.t1.intron1	FBtr0078006.intron1
OG0001481.intron2	jg4932.t1.intron2	FBtr0222954.intron2	jg14057.t1.intron2	jg14416.t1.intron2	FBtr0078006.intron2
OG0001481.intron3	jg4932.t1.intron3	FBtr0222954.intron3	jg14057.t1.intron3	jg14416.t1.intron3	FBtr0078006.intron3
OG0001483.intron1	jg4930.t1.intron1	FBtr0222852.intron1	jg14055.t1.intron1	jg14418.t1.intron1	FBtr0078042.intron1
OG0001483.intron2	jg4930.t1.intron2	FBtr0222852.intron2	jg14055.t1.intron2	jg14418.t1.intron2	FBtr0078042.intron2
OG0001483.intron3	jg4930.t1.intron3	FBtr0222852.intron3	jg14055.t1.intron3	jg14418.t1.intron3	FBtr0078042.intron3
OG0001483.intron4	jg4930.t1.intron4	FBtr0222852.intron4	jg14055.t1.intron4	jg14418.t1.intron4	FBtr0078042.intron4
OG0001488.intron1	jg4924.t1.intron1	FBtr0222849.intron1	jg14049.t1.intron1	jg14424.t1.intron1	FBtr0078039.intron1
OG0001490.intron1	jg4922.t1.intron1	FBtr0363368.intron1	jg14047.t1.intron1	jg14426.t1.intron1	FBtr0078012.intron1
OG0001490.intron2	jg4922.t1.intron2	FBtr0363368.intron2	jg14047.t1.intron2	jg14426.t1.intron2	FBtr0078012.intron2
OG0001492.intron1	jg4920.t1.intron1	FBtr0357181.intron1	jg14045.t1.intron1	jg14428.t1.intron1	FBtr0078014.intron1
OG0001492.intron4	jg4920.t1.intron4	FBtr0357181.intron4	jg14045.t1.intron5	jg14428.t1.intron4	FBtr0078014.intron4
OG0001493.intron1	jg4918.t1.intron1	FBtr0222961.intron1	jg14043.t1.intron1	jg14431.t1.intron1	FBtr0078016.intron1
OG0001493.intron2	jg4918.t1.intron2	FBtr0222961.intron2	jg14043.t1.intron2	jg14431.t1.intron2	FBtr0078016.intron2
OG0001494.intron1	jg4917.t1.intron1	FBtr0222962.intron1	jg14042.t1.intron1	jg14432.t1.intron1	FBtr0078017.intron1
OG0001495.intron2	jg4915.t1.intron2	FBtr0348100.intron2	jg14041.t1.intron4	jg14433.t1.intron3	FBtr0078018.intron2
OG0001496.intron5	jg4914.t1.intron5	FBtr0362164.intron5	jg14040.t1.intron2	jg14434.t1.intron4	FBtr0078033.intron5
OG0001498.intron2	jg4912.t1.intron2	FBtr0364140.intron2	jg14037.t1.intron2	jg14436.t1.intron2	FBtr0091489.intron2
OG0001498.intron3	jg4912.t1.intron3	FBtr0364140.intron3	jg14037.t1.intron3	jg14436.t1.intron3	FBtr0091489.intron3
OG0001500.intron2	jg4910.t1.intron2	FBtr0360791.intron2	jg14032.t1.intron2	jg14438.t1.intron2	FBtr0332181.intron2
OG0001500.intron5	jg4910.t1.intron5	FBtr0360791.intron5	jg14032.t1.intron5	jg14438.t1.intron5	FBtr0332181.intron5
OG0001500.intron6	jg4910.t1.intron6	FBtr0360791.intron6	jg14032.t1.intron6	jg14438.t1.intron6	FBtr0332181.intron6
OG0001500.intron7	jg4910.t1.intron7	FBtr0360791.intron7	jg14032.t1.intron7	jg14438.t1.intron7	FBtr0332181.intron7
OG0001500.intron8	jg4910.t1.intron8	FBtr0360791.intron8	jg14032.t1.intron8	jg14438.t1.intron8	FBtr0332181.intron8
OG0001500.intron9	jg4910.t1.intron9	FBtr0360791.intron9	jg14032.t1.intron9	jg14438.t1.intron9	FBtr0332181.intron9
OG0001501.intron7	jg4907.t1.intron7	FBtr0222970.intron7	jg14027.t1.intron2	jg14442.t1.intron7	FBtr0336969.intron7
OG0001501.intron8	jg4907.t1.intron8	FBtr0222970.intron8	jg14027.t1.intron3	jg14442.t1.intron8	FBtr0336969.intron8
OG0001501.intron10	jg4907.t1.intron10	FBtr0222970.intron10	jg14027.t1.intron5	jg14442.t1.intron10	FBtr0336969.intron10
OG0001502.intron2	jg4904.t1.intron2	FBtr0365520.intron3	jg14021.t1.intron2	jg14445.t1.intron2	FBtr0301416.intron3
OG0001502.intron5	jg4904.t1.intron5	FBtr0365520.intron7	jg14021.t1.intron5	jg14445.t1.intron5	FBtr0301416.intron6
OG0001502.intron6	jg4904.t1.intron6	FBtr0365520.intron8	jg14021.t1.intron6	jg14445.t1.intron6	FBtr0301416.intron7
OG0001502.intron8	jg4904.t1.intron8	FBtr0365520.intron11	jg14021.t1.intron8	jg14445.t1.intron8	FBtr0301416.intron9
OG0001502.intron9	jg4904.t1.intron9	FBtr0365520.intron12	jg14021.t1.intron9	jg14445.t1.intron9	FBtr0301416.intron10
OG0001504.intron1	jg4901.t1.intron1	FBtr0222841.intron1	jg14017.t1.intron2	jg14451.t1.intron1	FBtr0077993.intron1
OG0001504.intron2	jg4901.t1.intron2	FBtr0222841.intron2	jg14017.t1.intron3	jg14451.t1.intron2	FBtr0077993.intron2
OG0001504.intron3	jg4901.t1.intron3	FBtr0222841.intron3	jg14017.t1.intron4	jg14451.t1.intron3	FBtr0077993.intron3
OG0001506.intron2	jg4899.t1.intron2	FBtr0222976.intron2	jg14013.t1.intron2	jg14453.t1.intron2	FBtr0077953.intron2
OG0001506.intron3	jg4899.t1.intron3	FBtr0222976.intron3	jg14013.t1.intron3	jg14453.t1.intron3	FBtr0077953.intron3
OG0001506.intron4	jg4899.t1.intron4	FBtr0222976.intron4	jg14013.t1.intron4	jg14453.t1.intron4	FBtr0077953.intron4
OG0001507.intron6	jg4898.t1.intron6	FBtr0353826.intron2	jg14012.t1.intron4	jg14454.t1.intron4	FBtr0332570.intron4
OG0001507.intron7	jg4898.t1.intron7	FBtr0353826.intron3	jg14012.t1.intron5	jg14454.t1.intron5	FBtr0332570.intron5
OG0001507.intron8	jg4898.t1.intron8	FBtr0353826.intron4	jg14012.t1.intron6	jg14454.t1.intron6	FBtr0332570.intron6
OG0001508.intron2	jg4895.t1.intron2	FBtr0352806.intron2	jg13731.t1.intron2	jg14457.t1.intron2	FBtr0077955.intron2
OG0001508.intron3	jg4895.t1.intron3	FBtr0352806.intron3	jg13731.t1.intron3	jg14457.t1.intron3	FBtr0077955.intron3
OG0001509.intron1	jg4894.t1.intron2	FBtr0222837.intron1	jg14009.t1.intron3	jg14458.t1.intron2	FBtr0077987.intron1
OG0001509.intron2	jg4894.t1.intron3	FBtr0222837.intron2	jg14009.t1.intron4	jg14458.t1.intron3	FBtr0077987.intron2
OG0001509.intron3	jg4894.t1.intron4	FBtr0222837.intron3	jg14009.t1.intron5	jg14458.t1.intron4	FBtr0077987.intron3
OG0001512.intron4	jg4891.t1.intron4	FBtr0363278.intron2	jg14006.t1.intron6	jg14461.t1.intron5	FBtr0332271.intron3
OG0001512.intron5	jg4891.t1.intron5	FBtr0363278.intron3	jg14006.t1.intron7	jg14461.t1.intron6	FBtr0332271.intron4
OG0001513.intron1	jg4890.t1.intron1	FBtr0362308.intron1	jg14005.t1.intron1	jg14462.t1.intron1	FBtr0077958.intron1
OG0001513.intron2	jg4890.t1.intron2	FBtr0362308.intron2	jg14005.t1.intron2	jg14462.t1.intron2	FBtr0077958.intron2
OG0001513.intron3	jg4890.t1.intron3	FBtr0362308.intron3	jg14005.t1.intron3	jg14462.t1.intron3	FBtr0077958.intron3
OG0001515.intron1	jg4888.t1.intron1	FBtr0222835.intron1	jg14003.t1.intron1	jg14464.t1.intron1	FBtr0077985.intron1
OG0001515.intron2	jg4888.t1.intron2	FBtr0222835.intron2	jg14003.t1.intron2	jg14464.t1.intron2	FBtr0077985.intron2
OG0001515.intron3	jg4888.t1.intron3	FBtr0222835.intron3	jg14003.t1.intron3	jg14464.t1.intron3	FBtr0077985.intron3
OG0001515.intron4	jg4888.t1.intron4	FBtr0222835.intron4	jg14003.t1.intron4	jg14464.t1.intron4	FBtr0077985.intron4
OG0001517.intron2	jg4884.t1.intron2	FBtr0222833.intron2	jg13997.t1.intron4	jg14469.t1.intron2	FBtr0077981.intron2
OG0001519.intron1	jg4881.t1.intron1	FBtr0222832.intron1	jg13994.t1.intron1	jg14472.t1.intron1	FBtr0077980.intron1
OG0001522.intron1	jg4875.t1.intron1	FBtr0362555.intron1	jg13986.t1.intron1	jg14478.t1.intron1	FBtr0077971.intron1
OG0001523.intron1	jg4874.t1.intron1	FBtr0355658.intron1	jg13985.t2.intron1	jg14479.t2.intron1	FBtr0077972.intron1
OG0001525.intron1	jg4871.t1.intron1	FBtr0222998.intron1	jg13982.t1.intron1	jg14482.t1.intron1	FBtr0114498.intron1
OG0001525.intron2	jg4871.t1.intron2	FBtr0222998.intron2	jg13982.t1.intron2	jg14482.t1.intron2	FBtr0114498.intron2
OG0001525.intron3	jg4871.t1.intron3	FBtr0222998.intron3	jg13982.t1.intron3	jg14482.t1.intron3	FBtr0114498.intron3
OG0001526.intron4	jg4869.t1.intron4	FBtr0222999.intron4	jg13978.t1.intron2	jg14483.t1.intron4	FBtr0299796.intron4
OG0001530.intron1	jg4857.t1.intron1	FBtr0222821.intron1	jg13964.t1.intron1	jg14495.t1.intron1	FBtr0077943.intron1
OG0001530.intron2	jg4857.t1.intron2	FBtr0222821.intron2	jg13964.t1.intron2	jg14495.t1.intron2	FBtr0077943.intron2
OG0001530.intron3	jg4857.t1.intron3	FBtr0222821.intron3	jg13964.t1.intron3	jg14495.t1.intron3	FBtr0077943.intron3
OG0001530.intron4	jg4857.t1.intron4	FBtr0222821.intron4	jg13964.t1.intron4	jg14495.t1.intron4	FBtr0077943.intron4
OG0001531.intron2	jg4856.t1.intron2	FBtr0222820.intron2	jg13963.t1.intron2	jg14496.t1.intron2	FBtr0329947.intron2
OG0001531.intron3	jg4856.t1.intron3	FBtr0222820.intron3	jg13963.t1.intron3	jg14496.t1.intron3	FBtr0329947.intron3
OG0001531.intron4	jg4856.t1.intron4	FBtr0222820.intron4	jg13963.t1.intron4	jg14496.t1.intron4	FBtr0329947.intron4
OG0001532.intron1	jg4855.t1.intron1	FBtr0223007.intron1	jg13962.t1.intron1	jg14497.t1.intron1	FBtr0077926.intron1
OG0001532.intron2	jg4855.t1.intron2	FBtr0223007.intron2	jg13962.t1.intron2	jg14497.t1.intron2	FBtr0077926.intron2
OG0001539.intron1	jg4841.t1.intron1	FBtr0222813.intron1	jg13945.t1.intron1	jg14510.t1.intron1	FBtr0077916.intron1
OG0001540.intron1	jg4843.t1.intron1	FBtr0355358.intron1	jg13947.t1.intron2	jg14508.t1.intron1	FBtr0474154.intron1
OG0001540.intron2	jg4843.t1.intron2	FBtr0355358.intron2	jg13947.t1.intron3	jg14508.t1.intron2	FBtr0474154.intron2
OG0001540.intron3	jg4843.t1.intron3	FBtr0355358.intron3	jg13947.t1.intron4	jg14508.t1.intron3	FBtr0474154.intron3
OG0001540.intron4	jg4843.t1.intron4	FBtr0355358.intron4	jg13947.t1.intron5	jg14508.t1.intron4	FBtr0474154.intron4
OG0001540.intron5	jg4843.t1.intron5	FBtr0355358.intron5	jg13947.t1.intron6	jg14508.t1.intron5	FBtr0474154.intron5
OG0001540.intron6	jg4843.t1.intron6	FBtr0355358.intron6	jg13947.t1.intron7	jg14508.t1.intron6	FBtr0474154.intron6
OG0001541.intron1	jg4840.t1.intron1	FBtr0223015.intron1	jg13944.t1.intron1	jg14511.t1.intron1	FBtr0077876.intron1
OG0001544.intron1	jg4836.t1.intron1	FBtr0355148.intron1	jg13940.t1.intron1	jg14514.t1.intron1	FBtr0077881.intron1
OG0001545.intron1	jg4835.t1.intron1	FBtr0222807.intron1	jg13939.t1.intron1	jg14515.t1.intron1	FBtr0077912.intron1
OG0001545.intron2	jg4835.t1.intron2	FBtr0222807.intron2	jg13939.t1.intron2	jg14515.t1.intron2	FBtr0077912.intron2
OG0001545.intron5	jg4835.t1.intron5	FBtr0222807.intron5	jg13939.t1.intron6	jg14515.t1.intron5	FBtr0077912.intron5
OG0001545.intron6	jg4835.t1.intron6	FBtr0222807.intron6	jg13939.t1.intron7	jg14515.t1.intron6	FBtr0077912.intron6
OG0001545.intron7	jg4835.t1.intron7	FBtr0222807.intron7	jg13939.t1.intron8	jg14515.t1.intron7	FBtr0077912.intron7
OG0001545.intron8	jg4835.t1.intron8	FBtr0222807.intron8	jg13939.t1.intron9	jg14515.t1.intron8	FBtr0077912.intron8
OG0001545.intron9	jg4835.t1.intron9	FBtr0222807.intron9	jg13939.t1.intron10	jg14515.t1.intron9	FBtr0077912.intron9
OG0001546.intron1	jg4834.t1.intron1	FBtr0360697.intron1	jg13938.t1.intron1	jg14516.t1.intron1	FBtr0077882.intron1
